loss,accuracy,average_bitwidth,memory_density
1.1955071687698364,0.5578920841217041,0.4,16.0
1.2010869979858398,0.5524494647979736,0.4,16.0
1.2010256052017212,0.5523210763931274,0.4,16.0
1.1910598278045654,0.5484662055969238,0.8,8.0
1.1917827129364014,0.5385256409645081,0.8,8.0
1.1899604797363281,0.5325738191604614,0.8,8.0
1.1840474605560303,0.5448513031005859,1.6,4.0
1.1800899505615234,0.5519713163375854,1.6,4.0
1.1761667728424072,0.5580674409866333,1.6,4.0
1.180943489074707,0.5597904920578003,0.4,16.0
1.1847785711288452,0.5596519708633423,0.4,16.0
1.18777596950531,0.5600941181182861,0.4,16.0
1.1808676719665527,0.5604887008666992,0.8,8.0
1.1754239797592163,0.5597354173660278,0.8,8.0
1.170314073562622,0.5594365000724792,0.8,8.0
1.1661267280578613,0.56505286693573,1.6,4.0
1.1615430116653442,0.568806529045105,1.6,4.0
1.15739107131958,0.5719889402389526,1.6,4.0
